credit_history;purpose;credit_amount;savings_status;employment;installment_commitment;personal_status;age;housing;existing_credits;job;class
'critical/other existing credit';radio/tv;2404;'<100';'1<=X<4';2;'female div/dep/mar';26;own;2;skilled;good
'existing paid';furniture/equipment;1262;'no known savings';'>=7';2;'male div/sep';49;own;1;'unskilled resident';good
'existing paid';furniture/equipment;4611;'<100';'<1';1;'female div/dep/mar';32;own;1;skilled;bad
'existing paid';radio/tv;1901;'100<=X<500';'1<=X<4';4;'male single';29;rent;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';'used car';3368;'>=1000';'>=7';3;'male single';23;rent;2;skilled;good
'existing paid';furniture/equipment;1574;'<100';'1<=X<4';4;'male single';50;own;1;skilled;good
'all paid';radio/tv;1445;'no known savings';'4<=X<7';4;'male single';49;own;1;'unskilled resident';good
'critical/other existing credit';furniture/equipment;1520;'no known savings';'>=7';4;'male single';63;own;1;skilled;good
'critical/other existing credit';'new car';3878;'100<=X<500';'<1';4;'male div/sep';37;own;1;skilled;good
'existing paid';'new car';10722;'<100';'<1';1;'female div/dep/mar';35;own;1;'unskilled resident';good
'existing paid';'used car';4788;'<100';'4<=X<7';4;'male single';26;own;1;skilled;good
'delayed previously';other;7582;'100<=X<500';unemployed;2;'male single';31;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;1092;'<100';'1<=X<4';4;'female div/dep/mar';49;own;2;skilled;good
'delayed previously';radio/tv;1024;'<100';'<1';4;'male mar/wid';48;own;1;skilled;bad
'existing paid';business;1076;'<100';'1<=X<4';2;'male mar/wid';26;own;1;skilled;good
'existing paid';'used car';9398;'<100';'<1';1;'male mar/wid';28;rent;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'used car';6419;'<100';'>=7';2;'female div/dep/mar';44;'for free';2;'high qualif/self emp/mgmt';good
'critical/other existing credit';'used car';4796;'<100';'>=7';4;'male single';56;'for free';1;skilled;good
'critical/other existing credit';business;7629;'no known savings';'>=7';4;'male div/sep';46;own;2;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;9960;'<100';'<1';1;'female div/dep/mar';26;own;1;skilled;bad
'existing paid';'used car';4675;'no known savings';'<1';1;'female div/dep/mar';20;rent;1;skilled;good
'existing paid';'new car';1287;'no known savings';'>=7';4;'male single';45;own;1;'unskilled resident';good
'existing paid';furniture/equipment;2515;'<100';'1<=X<4';3;'male single';43;own;1;skilled;good
'critical/other existing credit';furniture/equipment;2745;'>=1000';'4<=X<7';3;'male single';32;own;2;skilled;good
'existing paid';'new car';672;'<100';unemployed;1;'female div/dep/mar';54;own;1;'unemp/unskilled non res';good
'no credits/all paid';radio/tv;3804;'<100';'1<=X<4';4;'female div/dep/mar';42;own;1;skilled;bad
'critical/other existing credit';'new car';1344;'no known savings';'4<=X<7';4;'male single';37;own;2;'unskilled resident';bad
'critical/other existing credit';'new car';1038;'<100';'4<=X<7';4;'male single';49;own;2;skilled;good
'critical/other existing credit';'new car';10127;'500<=X<1000';'1<=X<4';2;'male single';44;'for free';1;skilled;bad
'existing paid';furniture/equipment;1543;'>=1000';'1<=X<4';4;'male div/sep';33;own;1;skilled;good
'existing paid';'used car';4811;'no known savings';'4<=X<7';2;'female div/dep/mar';24;rent;1;'unskilled resident';good
'existing paid';radio/tv;727;'100<=X<500';'<1';4;'male mar/wid';33;own;1;'unskilled resident';bad
'existing paid';furniture/equipment;1237;'<100';'1<=X<4';3;'female div/dep/mar';24;own;1;skilled;bad
'existing paid';'new car';276;'<100';'1<=X<4';4;'male mar/wid';22;rent;1;'unskilled resident';good
'existing paid';other;5381;'no known savings';unemployed;3;'male single';40;'for free';1;'unemp/unskilled non res';good
'existing paid';furniture/equipment;5511;'100<=X<500';'1<=X<4';4;'male single';25;own;1;skilled;good
'existing paid';furniture/equipment;3749;'<100';'<1';2;'female div/dep/mar';26;own;1;skilled;good
'existing paid';'new car';685;'<100';'4<=X<7';2;'male mar/wid';25;own;1;'unskilled resident';bad
'existing paid';'new car';1494;'no known savings';'<1';1;'male single';29;own;1;'unskilled resident';good
'all paid';furniture/equipment;2746;'<100';'>=7';4;'male single';31;own;1;skilled;bad
'existing paid';furniture/equipment;708;'<100';'1<=X<4';2;'male single';38;own;1;'unskilled resident';good
'existing paid';furniture/equipment;4351;'no known savings';'1<=X<4';1;'female div/dep/mar';48;own;1;'unskilled resident';good
'critical/other existing credit';education;701;'<100';'1<=X<4';4;'male single';32;own;2;skilled;good
'delayed previously';furniture/equipment;3643;'<100';'>=7';1;'female div/dep/mar';27;own;2;'unskilled resident';good
'critical/other existing credit';'new car';4249;'<100';unemployed;4;'male mar/wid';28;own;2;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;1938;'<100';'<1';4;'male div/sep';32;own;1;skilled;bad
'existing paid';'used car';2910;'<100';'4<=X<7';2;'male single';34;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;2659;'>=1000';'1<=X<4';4;'male single';28;own;1;skilled;good
'critical/other existing credit';'new car';1028;'<100';'1<=X<4';4;'female div/dep/mar';36;own;2;skilled;good
'critical/other existing credit';'new car';3398;'<100';'4<=X<7';1;'male single';39;own;2;'unskilled resident';good
'critical/other existing credit';furniture/equipment;5801;'no known savings';'>=7';2;'male single';49;rent;1;skilled;good
'existing paid';'new car';1525;'>=1000';'4<=X<7';4;'female div/dep/mar';34;own;1;skilled;good
'existing paid';radio/tv;4473;'<100';'>=7';4;'male single';31;own;1;skilled;good
'existing paid';radio/tv;1068;'<100';'>=7';4;'male single';28;own;1;skilled;good
'critical/other existing credit';'used car';6615;'<100';unemployed;2;'male single';75;'for free';2;'high qualif/self emp/mgmt';good
'critical/other existing credit';education;1864;'100<=X<500';'1<=X<4';4;'female div/dep/mar';30;own;2;skilled;bad
'existing paid';'new car';7408;'100<=X<500';'<1';4;'female div/dep/mar';24;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'used car';11590;'100<=X<500';'1<=X<4';2;'female div/dep/mar';24;rent;2;'unskilled resident';bad
'no credits/all paid';furniture/equipment;4110;'<100';'>=7';3;'male single';23;rent;2;skilled;bad
'critical/other existing credit';furniture/equipment;3384;'<100';'1<=X<4';1;'male div/sep';44;rent;1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;2101;'<100';'<1';2;'female div/dep/mar';23;own;1;'unskilled resident';good
'existing paid';'domestic appliance';1275;'no known savings';'1<=X<4';4;'female div/dep/mar';24;rent;1;skilled;bad
'existing paid';furniture/equipment;4169;'<100';'1<=X<4';4;'male single';28;own;1;skilled;good
'existing paid';furniture/equipment;1521;'<100';'1<=X<4';4;'male div/sep';31;own;1;'unskilled resident';good
'critical/other existing credit';education;5743;'<100';'<1';2;'female div/dep/mar';24;'for free';2;skilled;good
'existing paid';furniture/equipment;3599;'<100';'4<=X<7';1;'female div/dep/mar';26;rent;1;'unskilled resident';good
'existing paid';radio/tv;3213;'500<=X<1000';'<1';1;'male mar/wid';25;rent;1;skilled;good
'existing paid';business;4439;'<100';'>=7';1;'male single';33;own;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';3949;'<100';'<1';1;'male single';37;own;1;'unskilled resident';good
'critical/other existing credit';radio/tv;1459;'<100';'1<=X<4';4;'female div/dep/mar';43;own;1;'unskilled resident';good
'critical/other existing credit';radio/tv;882;'<100';'<1';4;'male single';23;own;2;skilled;good
'existing paid';radio/tv;3758;'500<=X<1000';unemployed;1;'female div/dep/mar';23;rent;1;'unemp/unskilled non res';good
'delayed previously';business;1743;'100<=X<500';'1<=X<4';1;'male single';34;own;2;'unskilled resident';good
'critical/other existing credit';education;1136;'>=1000';'>=7';4;'male single';32;'for free';2;skilled;bad
'existing paid';'domestic appliance';1236;'<100';'<1';1;'female div/dep/mar';23;rent;1;skilled;good
'existing paid';furniture/equipment;959;'<100';'1<=X<4';1;'female div/dep/mar';29;own;1;skilled;bad
'critical/other existing credit';'used car';3229;'no known savings';unemployed;2;'male single';38;own;1;'high qualif/self emp/mgmt';good
'no credits/all paid';radio/tv;6199;'<100';'1<=X<4';4;'male single';28;rent;2;skilled;bad
'existing paid';education;727;'500<=X<1000';'>=7';4;'male single';46;'for free';1;skilled;good
'existing paid';'new car';1246;'<100';'<1';4;'male single';23;own;1;'unskilled resident';bad
'critical/other existing credit';radio/tv;2331;'no known savings';'>=7';1;'male single';49;own;1;skilled;good
'delayed previously';radio/tv;4463;'<100';'1<=X<4';4;'male single';26;own;2;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;776;'<100';'1<=X<4';4;'male mar/wid';28;own;1;skilled;good
'existing paid';furniture/equipment;2406;'<100';'4<=X<7';4;'female div/dep/mar';23;rent;1;skilled;bad
'existing paid';education;1239;'no known savings';'1<=X<4';4;'male single';61;'for free';1;skilled;good
'existing paid';radio/tv;3399;'no known savings';'>=7';2;'male single';37;own;1;'high qualif/self emp/mgmt';good
'delayed previously';'new car';2247;'<100';'1<=X<4';2;'female div/dep/mar';36;own;2;skilled;good
'existing paid';furniture/equipment;1766;'<100';'1<=X<4';1;'male mar/wid';21;rent;1;skilled;good
'existing paid';furniture/equipment;2473;'<100';unemployed;4;'male single';25;own;1;'unemp/unskilled non res';bad
'existing paid';business;1542;'<100';'4<=X<7';2;'male single';36;own;1;skilled;good
'critical/other existing credit';'used car';3850;'<100';'4<=X<7';3;'male single';27;own;2;skilled;good
'existing paid';furniture/equipment;3650;'<100';'<1';1;'female div/dep/mar';22;rent;1;skilled;good
'existing paid';furniture/equipment;3446;'<100';'>=7';4;'male single';42;own;1;skilled;bad
'existing paid';furniture/equipment;3001;'<100';'4<=X<7';2;'female div/dep/mar';40;rent;1;skilled;good
'existing paid';'new car';3079;'no known savings';'1<=X<4';4;'male single';36;own;1;skilled;good
'critical/other existing credit';radio/tv;6070;'<100';'>=7';3;'male single';33;own;2;skilled;good
'critical/other existing credit';furniture/equipment;2146;'<100';'<1';1;'female div/dep/mar';23;rent;2;skilled;good
'critical/other existing credit';'new car';13756;'no known savings';'>=7';2;'male single';63;'for free';1;'high qualif/self emp/mgmt';good
'all paid';other;14782;'100<=X<500';'>=7';3;'female div/dep/mar';60;'for free';2;'high qualif/self emp/mgmt';bad
'all paid';business;7685;'<100';'4<=X<7';2;'female div/dep/mar';37;rent;1;skilled;bad
'delayed previously';radio/tv;2320;'<100';unemployed;2;'male mar/wid';34;own;2;skilled;good
'delayed previously';radio/tv;846;'no known savings';'>=7';3;'male single';36;'for free';1;skilled;good
'existing paid';'new car';14318;'<100';'>=7';4;'male single';57;'for free';1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';'new car';362;'100<=X<500';'1<=X<4';4;'female div/dep/mar';52;own;2;'unskilled resident';good
'existing paid';furniture/equipment;2212;'no known savings';'4<=X<7';4;'male single';39;own;1;skilled;good
'existing paid';'used car';12976;'<100';unemployed;3;'female div/dep/mar';38;'for free';1;'high qualif/self emp/mgmt';bad
'existing paid';'new car';1283;'no known savings';'4<=X<7';4;'female div/dep/mar';25;rent;1;skilled;good
'existing paid';'new car';1330;'<100';'<1';4;'male single';26;own;1;skilled;good
'delayed previously';business;4272;'100<=X<500';'1<=X<4';2;'male single';26;own;2;'unskilled resident';good
'critical/other existing credit';radio/tv;2238;'<100';'1<=X<4';2;'female div/dep/mar';25;own;2;skilled;good
'existing paid';radio/tv;1126;'no known savings';'<1';4;'female div/dep/mar';21;rent;1;skilled;good
'critical/other existing credit';furniture/equipment;7374;'<100';unemployed;4;'male single';40;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';business;2326;'500<=X<1000';'1<=X<4';2;'male single';27;own;1;skilled;good
'existing paid';business;1449;'<100';'4<=X<7';3;'female div/dep/mar';27;own;2;skilled;good
'existing paid';'new car';1820;'<100';'1<=X<4';2;'male mar/wid';30;own;1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;983;'>=1000';'<1';1;'female div/dep/mar';19;rent;1;'unskilled resident';good
'existing paid';'new car';3249;'<100';'4<=X<7';2;'male single';39;'for free';1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;1957;'<100';'4<=X<7';1;'female div/dep/mar';31;own;1;skilled;good
'critical/other existing credit';furniture/equipment;2406;'<100';unemployed;2;'male single';31;own;1;'high qualif/self emp/mgmt';good
'delayed previously';education;11760;'100<=X<500';'4<=X<7';2;'male single';32;rent;1;skilled;good
'existing paid';furniture/equipment;2578;'<100';unemployed;3;'female div/dep/mar';55;'for free';1;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;2348;'<100';'1<=X<4';3;'male mar/wid';46;own;2;skilled;good
'existing paid';'new car';1223;'<100';'>=7';1;'male div/sep';46;rent;2;skilled;bad
'critical/other existing credit';radio/tv;1516;'>=1000';'1<=X<4';4;'female div/dep/mar';43;own;2;'unskilled resident';good
'existing paid';radio/tv;1473;'<100';'<1';3;'male mar/wid';39;own;1;skilled;good
'critical/other existing credit';business;1887;'no known savings';'1<=X<4';4;'male mar/wid';28;own;2;skilled;good
'delayed previously';business;8648;'<100';'<1';2;'male single';27;own;2;skilled;bad
'delayed previously';'new car';802;'<100';'1<=X<4';4;'male single';27;own;2;'unskilled resident';good
'delayed previously';'new car';2899;'no known savings';'>=7';4;'male single';43;own;1;skilled;good
'existing paid';radio/tv;2039;'<100';'<1';1;'male mar/wid';22;own;1;skilled;bad
'critical/other existing credit';'used car';2197;'no known savings';'4<=X<7';4;'male single';43;own;2;skilled;good
'existing paid';radio/tv;1053;'<100';'<1';4;'male mar/wid';27;own;1;skilled;good
'existing paid';radio/tv;3235;'500<=X<1000';'>=7';3;'male div/sep';26;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';939;'500<=X<1000';'4<=X<7';4;'male mar/wid';28;own;3;skilled;bad
'existing paid';radio/tv;1967;'<100';'>=7';4;'female div/dep/mar';20;own;1;skilled;good
'critical/other existing credit';'used car';7253;'<100';'4<=X<7';3;'male single';35;own;2;'high qualif/self emp/mgmt';good
'critical/other existing credit';business;2292;'<100';unemployed;4;'male single';42;own;2;'high qualif/self emp/mgmt';bad
'existing paid';'new car';1597;'500<=X<1000';'1<=X<4';3;'male single';40;rent;1;'unskilled resident';good
'existing paid';'new car';1381;'no known savings';'1<=X<4';4;'female div/dep/mar';35;own;1;skilled;bad
'critical/other existing credit';'used car';5842;'<100';'>=7';2;'male single';35;own;2;skilled;good
'existing paid';'new car';2579;'<100';'<1';4;'male single';33;own;1;'unskilled resident';bad
'delayed previously';education;8471;'no known savings';'1<=X<4';1;'female div/dep/mar';23;rent;2;skilled;good
'existing paid';'new car';2782;'500<=X<1000';'4<=X<7';1;'female div/dep/mar';31;own;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';1042;'no known savings';'1<=X<4';4;'female div/dep/mar';33;own;1;skilled;bad
'existing paid';'new car';3186;'>=1000';'4<=X<7';2;'female div/dep/mar';20;rent;1;skilled;good
'existing paid';'used car';2028;'no known savings';'1<=X<4';4;'male single';30;own;1;skilled;good
'critical/other existing credit';'new car';958;'<100';'4<=X<7';2;'male single';47;own;2;'unskilled resident';good
'delayed previously';furniture/equipment;1591;'100<=X<500';'4<=X<7';4;'male single';34;own;2;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;2762;'no known savings';'>=7';1;'female div/dep/mar';25;own;1;skilled;bad
'existing paid';'used car';2779;'<100';'1<=X<4';1;'male mar/wid';21;rent;1;skilled;good
'critical/other existing credit';radio/tv;2743;'<100';'>=7';4;'male single';29;own;2;skilled;good
'critical/other existing credit';radio/tv;1149;'>=1000';'1<=X<4';4;'male single';46;own;2;skilled;good
'existing paid';furniture/equipment;1313;'<100';'>=7';1;'male single';20;own;1;skilled;good
'critical/other existing credit';repairs;1190;'<100';unemployed;2;'female div/dep/mar';55;'for free';3;'unemp/unskilled non res';bad
'existing paid';business;3448;'<100';'4<=X<7';1;'male single';74;own;1;'unskilled resident';good
'existing paid';other;11328;'<100';'1<=X<4';2;'male single';29;own;2;'high qualif/self emp/mgmt';bad
'critical/other existing credit';furniture/equipment;1872;'<100';unemployed;4;'male single';36;'for free';3;'high qualif/self emp/mgmt';good
'critical/other existing credit';repairs;2058;'<100';'1<=X<4';4;'male div/sep';33;own;2;skilled;good
'existing paid';furniture/equipment;2136;'<100';'1<=X<4';3;'male single';25;own;1;skilled;good
'existing paid';radio/tv;1484;'no known savings';'1<=X<4';2;'male mar/wid';25;own;1;skilled;bad
'existing paid';repairs;660;'500<=X<1000';'4<=X<7';2;'male mar/wid';23;rent;1;'unskilled resident';good
'critical/other existing credit';'new car';1287;'>=1000';'>=7';4;'female div/dep/mar';37;own;2;skilled;good
'critical/other existing credit';repairs;3394;'<100';unemployed;4;'male single';65;own;2;'unemp/unskilled non res';good
'all paid';business;609;'<100';'<1';4;'female div/dep/mar';26;own;1;'unemp/unskilled non res';bad
'existing paid';'new car';1884;'<100';'>=7';4;'male single';39;own;1;'high qualif/self emp/mgmt';good
'existing paid';furniture/equipment;1620;'<100';'1<=X<4';2;'female div/dep/mar';30;own;1;skilled;good
'delayed previously';other;2629;'<100';'1<=X<4';2;'male single';29;own;2;skilled;good
'existing paid';education;719;'<100';'>=7';4;'male single';41;own;1;'unskilled resident';bad
'critical/other existing credit';furniture/equipment;5096;'<100';'1<=X<4';2;'female div/dep/mar';30;own;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';education;1244;'no known savings';'>=7';4;'female div/dep/mar';41;rent;2;'unskilled resident';good
'existing paid';'new car';1842;'<100';'<1';4;'female div/dep/mar';34;own;1;skilled;bad
'existing paid';radio/tv;2576;'<100';'1<=X<4';2;'male single';35;own;1;skilled;good
'existing paid';furniture/equipment;1424;'no known savings';'>=7';3;'female div/dep/mar';55;own;1;'high qualif/self emp/mgmt';good
'delayed previously';repairs;1512;'>=1000';'1<=X<4';3;'male mar/wid';61;own;2;skilled;bad
'critical/other existing credit';'used car';11054;'no known savings';'1<=X<4';4;'male single';30;own;1;'high qualif/self emp/mgmt';good
'existing paid';radio/tv;518;'<100';'1<=X<4';3;'female div/dep/mar';29;own;1;skilled;good
'no credits/all paid';furniture/equipment;2759;'<100';'>=7';2;'male single';34;own;2;skilled;good
'existing paid';'used car';2670;'<100';'>=7';4;'male single';35;own;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';4817;'<100';'4<=X<7';2;'male single';31;own;1;skilled;bad
'existing paid';'used car';2679;'<100';'<1';4;'female div/dep/mar';29;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';'new car';3905;'<100';'1<=X<4';2;'male single';36;rent;2;skilled;good
'existing paid';'used car';3386;'<100';'>=7';3;'male single';35;'for free';1;skilled;bad
'existing paid';'domestic appliance';343;'<100';'<1';4;'female div/dep/mar';27;own;1;skilled;good
'existing paid';radio/tv;4594;'<100';'<1';3;'male single';32;own;1;skilled;good
'existing paid';furniture/equipment;3620;'<100';'1<=X<4';1;'male single';37;own;1;skilled;good
'existing paid';'new car';1721;'<100';'<1';2;'male single';36;own;1;skilled;good
'existing paid';furniture/equipment;3017;'<100';'<1';3;'female div/dep/mar';34;rent;1;'high qualif/self emp/mgmt';good
'existing paid';retraining;754;'no known savings';'>=7';4;'male single';38;own;2;skilled;good
'existing paid';business;1950;'<100';'4<=X<7';4;'male single';34;own;2;skilled;good
'existing paid';'used car';2924;'<100';'1<=X<4';3;'male single';63;own;1;skilled;good
'delayed previously';radio/tv;1659;'<100';'<1';4;'female div/dep/mar';29;rent;1;'unskilled resident';bad
'delayed previously';radio/tv;7238;'no known savings';'>=7';3;'male single';32;own;2;skilled;good
'delayed previously';business;2764;'<100';'1<=X<4';2;'female div/dep/mar';26;own;2;skilled;good
'delayed previously';'used car';4679;'<100';'4<=X<7';3;'male single';35;own;2;'unskilled resident';good
'existing paid';radio/tv;3092;'100<=X<500';'<1';3;'male mar/wid';22;rent;1;skilled;bad
'existing paid';education;448;'<100';'<1';4;'female div/dep/mar';23;own;1;skilled;bad
'existing paid';'new car';654;'<100';'1<=X<4';4;'male single';28;own;1;'unskilled resident';bad
'existing paid';retraining;1238;'no known savings';unemployed;4;'male single';36;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';radio/tv;1245;'<100';'1<=X<4';4;'male mar/wid';33;own;1;skilled;bad
'no credits/all paid';furniture/equipment;3114;'<100';'<1';1;'female div/dep/mar';26;rent;1;skilled;bad
'existing paid';'used car';2569;'500<=X<1000';'1<=X<4';4;'male single';24;own;1;skilled;good
'existing paid';radio/tv;5152;'<100';'4<=X<7';4;'male single';25;own;1;skilled;good
'existing paid';business;1037;'100<=X<500';'4<=X<7';3;'male single';39;own;1;'unskilled resident';good
'critical/other existing credit';furniture/equipment;1478;'<100';'>=7';4;'male single';44;own;2;skilled;good
'critical/other existing credit';radio/tv;3573;'<100';'1<=X<4';1;'female div/dep/mar';23;own;1;'unskilled resident';good
'existing paid';'new car';1201;'<100';'<1';4;'male single';26;own;1;skilled;good
'existing paid';furniture/equipment;3622;'>=1000';'>=7';4;'female div/dep/mar';57;rent;2;skilled;good
'delayed previously';furniture/equipment;960;'>=1000';'4<=X<7';3;'female div/dep/mar';30;own;2;skilled;good
'critical/other existing credit';'new car';1163;'500<=X<1000';'1<=X<4';4;'male single';44;own;1;skilled;good
'delayed previously';'new car';1209;'<100';unemployed;4;'male single';47;own;1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;3077;'<100';'1<=X<4';2;'male single';52;own;1;skilled;good
'existing paid';'new car';3757;'<100';'>=7';4;'female div/dep/mar';62;'for free';1;skilled;good
'existing paid';'new car';1418;'100<=X<500';'1<=X<4';3;'male single';35;rent;1;'unskilled resident';good
'existing paid';'new car';3518;'<100';'1<=X<4';2;'male single';26;rent;1;skilled;good
'critical/other existing credit';radio/tv;1934;'<100';'>=7';2;'male single';26;own;2;skilled;good
'no credits/all paid';business;8318;'<100';'>=7';2;'female div/dep/mar';42;'for free';2;'high qualif/self emp/mgmt';bad
'critical/other existing credit';radio/tv;1237;'100<=X<500';'1<=X<4';1;'female div/dep/mar';27;own;2;skilled;good
'existing paid';radio/tv;368;'no known savings';'>=7';4;'male single';38;own;1;skilled;good
'critical/other existing credit';'new car';2122;'<100';'1<=X<4';3;'male single';39;rent;2;'unskilled resident';good
'existing paid';furniture/equipment;2996;'no known savings';'1<=X<4';2;'male mar/wid';20;own;1;skilled;bad
'existing paid';furniture/equipment;9034;'100<=X<500';'<1';4;'male single';29;rent;1;'high qualif/self emp/mgmt';bad
'critical/other existing credit';furniture/equipment;1585;'<100';'4<=X<7';4;'male single';40;own;2;skilled;good
'existing paid';radio/tv;1301;'<100';'>=7';4;'male mar/wid';32;own;1;'unskilled resident';good
'critical/other existing credit';'new car';1323;'100<=X<500';'>=7';2;'male div/sep';28;own;2;skilled;good
'existing paid';'new car';3123;'<100';'<1';4;'female div/dep/mar';27;own;1;skilled;bad
'existing paid';'used car';5493;'<100';'>=7';2;'male single';42;'for free';1;skilled;good
'existing paid';radio/tv;1126;'100<=X<500';'>=7';2;'male div/sep';49;own;1;skilled;good
'critical/other existing credit';radio/tv;1216;'100<=X<500';'<1';4;'male single';38;own;2;skilled;bad
'existing paid';'new car';1207;'<100';'<1';4;'female div/dep/mar';24;rent;1;skilled;bad
'existing paid';'new car';1309;'no known savings';'1<=X<4';4;'male single';27;own;1;'unskilled resident';bad
'critical/other existing credit';'used car';2360;'500<=X<1000';'1<=X<4';2;'male single';36;own;1;skilled;good
'all paid';'new car';6850;'100<=X<500';unemployed;1;'male single';34;own;1;'high qualif/self emp/mgmt';bad
'existing paid';radio/tv;1413;'<100';'1<=X<4';4;'male mar/wid';28;own;1;skilled;good
'existing paid';'used car';8588;'100<=X<500';'>=7';4;'male single';45;own;1;'high qualif/self emp/mgmt';good
'existing paid';'new car';759;'<100';'4<=X<7';4;'male single';26;own;1;skilled;bad
'existing paid';'used car';4686;'<100';'1<=X<4';2;'male single';32;'for free';1;'high qualif/self emp/mgmt';good
'existing paid';business;2687;'<100';'4<=X<7';2;'male single';26;rent;1;skilled;good
'delayed previously';radio/tv;585;'<100';'1<=X<4';4;'male mar/wid';20;rent;2;skilled;good
'existing paid';'new car';2255;'no known savings';'<1';4;'male single';54;own;1;skilled;good
'critical/other existing credit';'new car';609;'<100';'4<=X<7';4;'female div/dep/mar';37;own;2;skilled;good
'critical/other existing credit';'new car';1361;'<100';'<1';2;'male single';40;own;1;'unskilled resident';good
'critical/other existing credit';furniture/equipment;7127;'<100';'<1';2;'female div/dep/mar';23;rent;2;skilled;bad
'existing paid';'new car';1203;'100<=X<500';'>=7';3;'male single';43;own;1;skilled;good
'critical/other existing credit';radio/tv;700;'no known savings';'>=7';4;'male single';36;'for free';2;skilled;good
'critical/other existing credit';repairs;5507;'<100';'>=7';3;'male single';44;'for free';2;skilled;good
'existing paid';radio/tv;3190;'<100';'1<=X<4';2;'female div/dep/mar';24;own;1;skilled;bad
'no credits/all paid';furniture/equipment;7119;'<100';'1<=X<4';3;'male single';53;'for free';2;skilled;bad
'existing paid';'used car';3488;'100<=X<500';'4<=X<7';3;'female div/dep/mar';23;own;1;skilled;good
'existing paid';radio/tv;1113;'<100';'1<=X<4';4;'female div/dep/mar';26;own;1;'unskilled resident';good
'existing paid';'used car';7966;'<100';'<1';2;'male single';30;own;2;skilled;good
'critical/other existing credit';education;1532;'100<=X<500';'1<=X<4';4;'female div/dep/mar';31;own;1;skilled;good
'critical/other existing credit';radio/tv;1503;'<100';'4<=X<7';2;'male single';42;own;2;'unskilled resident';good
'existing paid';radio/tv;2302;'<100';'1<=X<4';4;'male div/sep';31;rent;1;skilled;bad
'existing paid';'new car';662;'<100';'<1';3;'male single';41;own;1;'unskilled resident';good
'existing paid';education;2273;'<100';'4<=X<7';3;'male single';32;own;2;skilled;good
'existing paid';'new car';2631;'100<=X<500';'1<=X<4';2;'female div/dep/mar';28;rent;2;skilled;bad
'delayed previously';'used car';1503;'<100';'1<=X<4';4;'male mar/wid';41;rent;1;skilled;good
'existing paid';radio/tv;1311;'100<=X<500';'4<=X<7';4;'male mar/wid';26;own;1;skilled;good
'existing paid';radio/tv;3105;'no known savings';'<1';4;'male single';25;own;2;skilled;good
'critical/other existing credit';education;2319;'<100';'<1';2;'male div/sep';33;rent;1;skilled;bad
'existing paid';'new car';1374;'no known savings';unemployed;4;'female div/dep/mar';75;own;1;'high qualif/self emp/mgmt';good
'critical/other existing credit';furniture/equipment;3612;'<100';'>=7';3;'female div/dep/mar';37;own;1;skilled;good
'existing paid';'new car';7763;'<100';'>=7';4;'male single';42;'for free';1;'high qualif/self emp/mgmt';bad
'existing paid';furniture/equipment;3049;'<100';'<1';1;'female div/dep/mar';45;own;1;'unskilled resident';good
'existing paid';radio/tv;1534;'<100';'<1';1;'male mar/wid';23;rent;1;skilled;bad
'delayed previously';'new car';2032;'<100';'>=7';4;'male single';60;'for free';2;skilled;good
'existing paid';furniture/equipment;6350;'no known savings';'>=7';4;'male single';31;own;1;skilled;bad
'existing paid';furniture/equipment;2864;'<100';'1<=X<4';2;'male single';34;own;1;'unskilled resident';bad
'critical/other existing credit';'new car';1255;'<100';'>=7';4;'male single';61;own;2;'unskilled resident';good
'delayed previously';'new car';1333;'<100';unemployed;4;'male single';43;'for free';2;skilled;bad
'critical/other existing credit';'new car';2022;'<100';'1<=X<4';4;'female div/dep/mar';37;own;1;skilled;good
'existing paid';radio/tv;1552;'<100';'4<=X<7';3;'male single';32;own;1;skilled;good
'all paid';radio/tv;626;'<100';'1<=X<4';4;'female div/dep/mar';24;own;1;'unskilled resident';bad
'critical/other existing credit';'used car';8858;'no known savings';'4<=X<7';2;'male single';35;'for free';2;skilled;good
'critical/other existing credit';repairs;996;'no known savings';'4<=X<7';4;'female div/dep/mar';23;own;2;skilled;good
